source,target,relation
1,0,"r_cidr"
3,2,"r_cidr"
5,4,"r_cidr"
7,6,"r_dns_a"
10,9,"r_cert"
10,70,"r_subdomain"
11,1,"r_dns_a"
11,3,"r_dns_a"
11,5,"r_dns_a"
11,7,"r_dns_cname"
11,9,"r_cert"
11,72,"r_subdomain"
12,73,"r_subdomain"
13,1,"r_dns_a"
13,3,"r_dns_a"
13,5,"r_dns_a"
13,7,"r_dns_cname"
13,9,"r_cert"
13,74,"r_subdomain"
14,1,"r_dns_a"
14,3,"r_dns_a"
14,5,"r_dns_a"
14,7,"r_dns_cname"
14,9,"r_cert"
14,75,"r_subdomain"
15,76,"r_subdomain"
16,1,"r_dns_a"
16,3,"r_dns_a"
16,5,"r_dns_a"
16,7,"r_dns_cname"
16,8,"r_cert"
16,79,"r_subdomain"
17,1,"r_dns_a"
17,3,"r_dns_a"
17,5,"r_dns_a"
17,7,"r_dns_cname"
17,8,"r_cert"
17,80,"r_subdomain"
18,81,"r_subdomain"
19,83,"r_subdomain"
20,1,"r_dns_a"
20,3,"r_dns_a"
20,5,"r_dns_a"
20,7,"r_dns_cname"
20,8,"r_cert"
20,84,"r_subdomain"
21,1,"r_dns_a"
21,3,"r_dns_a"
21,5,"r_dns_a"
21,7,"r_dns_cname"
21,8,"r_cert"
21,87,"r_subdomain"
22,1,"r_dns_a"
22,3,"r_dns_a"
22,5,"r_dns_a"
22,7,"r_dns_cname"
22,8,"r_cert"
22,89,"r_subdomain"
23,1,"r_dns_a"
23,3,"r_dns_a"
23,5,"r_dns_a"
23,7,"r_dns_cname"
23,8,"r_cert"
23,90,"r_subdomain"
24,7,"r_dns_cname"
24,8,"r_cert"
25,1,"r_dns_a"
25,3,"r_dns_a"
25,5,"r_dns_a"
25,7,"r_dns_cname"
25,8,"r_cert"
25,92,"r_subdomain"
26,1,"r_dns_a"
26,3,"r_dns_a"
26,5,"r_dns_a"
26,7,"r_dns_cname"
26,8,"r_cert"
26,93,"r_subdomain"
27,1,"r_dns_a"
27,3,"r_dns_a"
27,5,"r_dns_a"
27,7,"r_dns_cname"
27,8,"r_cert"
27,96,"r_subdomain"
28,1,"r_dns_a"
28,3,"r_dns_a"
28,5,"r_dns_a"
28,7,"r_dns_cname"
28,8,"r_cert"
28,100,"r_subdomain"
29,1,"r_dns_a"
29,3,"r_dns_a"
29,5,"r_dns_a"
29,7,"r_dns_cname"
29,8,"r_cert"
29,101,"r_subdomain"
30,1,"r_dns_a"
30,3,"r_dns_a"
30,5,"r_dns_a"
30,7,"r_dns_cname"
30,8,"r_cert"
30,103,"r_subdomain"
31,7,"r_dns_cname"
31,8,"r_cert"
32,8,"r_cert"
33,8,"r_cert"
34,8,"r_cert"
35,8,"r_cert"
36,7,"r_dns_cname"
36,8,"r_cert"
37,8,"r_cert"
38,8,"r_cert"
39,8,"r_cert"
40,1,"r_dns_a"
40,3,"r_dns_a"
40,5,"r_dns_a"
40,7,"r_dns_cname"
40,8,"r_cert"
40,116,"r_subdomain"
41,7,"r_dns_cname"
41,8,"r_cert"
42,7,"r_dns_cname"
42,8,"r_cert"
43,7,"r_dns_cname"
43,8,"r_cert"
44,8,"r_cert"
45,8,"r_cert"
46,8,"r_cert"
47,8,"r_cert"
48,1,"r_dns_a"
48,3,"r_dns_a"
48,5,"r_dns_a"
48,7,"r_dns_cname"
48,9,"r_cert"
48,118,"r_subdomain"
49,9,"r_cert"
50,1,"r_dns_a"
50,3,"r_dns_a"
50,5,"r_dns_a"
50,7,"r_dns_cname"
50,9,"r_cert"
50,119,"r_subdomain"
51,1,"r_dns_a"
51,3,"r_dns_a"
51,5,"r_dns_a"
51,7,"r_dns_cname"
51,9,"r_cert"
51,120,"r_subdomain"
52,121,"r_subdomain"
53,125,"r_subdomain"
54,1,"r_dns_a"
54,3,"r_dns_a"
54,5,"r_dns_a"
54,7,"r_dns_cname"
54,9,"r_cert"
54,126,"r_subdomain"
55,1,"r_dns_a"
55,3,"r_dns_a"
55,5,"r_dns_a"
55,7,"r_dns_cname"
55,9,"r_cert"
55,127,"r_subdomain"
56,9,"r_cert"
57,1,"r_dns_a"
57,3,"r_dns_a"
57,5,"r_dns_a"
57,7,"r_dns_cname"
57,9,"r_cert"
57,132,"r_subdomain"
58,1,"r_dns_a"
58,3,"r_dns_a"
58,5,"r_dns_a"
58,7,"r_dns_cname"
58,9,"r_cert"
58,133,"r_subdomain"
59,1,"r_dns_a"
59,3,"r_dns_a"
59,5,"r_dns_a"
59,7,"r_dns_cname"
59,9,"r_cert"
59,134,"r_subdomain"
60,9,"r_cert"
61,135,"r_subdomain"
62,1,"r_dns_a"
62,3,"r_dns_a"
62,5,"r_dns_a"
62,7,"r_dns_cname"
62,9,"r_cert"
62,137,"r_subdomain"
63,1,"r_dns_a"
63,3,"r_dns_a"
63,5,"r_dns_a"
63,7,"r_dns_cname"
63,9,"r_cert"
63,138,"r_subdomain"
64,1,"r_dns_a"
64,3,"r_dns_a"
64,5,"r_dns_a"
64,7,"r_dns_cname"
64,9,"r_cert"
64,139,"r_subdomain"
